Date,New users,Returning users,Duration Day 1,Duration Day 7
25/10/2023,3461,1437,202.1569767,162.5238095
26/10/2023,3777,1554,228.6319444,258.1470588
27/10/2023,3100,1288,227.1858407,233.55
28/10/2023,2293,978,261.0795455,167.3571429
29/10/2023,2678,1082,182.5675676,304.35
30/10/2023,3748,1532,240.543956,210.9
31/10/2023,3943,1603,184.1944444,223.4634146
01/11/2023,3568,1538,154.3129252,180.6551724
02/11/2023,3871,1540,188.53125,223.137931
03/11/2023,3772,1545,189.6893939,81.70588235
04/11/2023,2716,1126,200.0446429,169
05/11/2023,2907,1148,166.3055556,92.2
06/11/2023,4121,1568,217.1256039,159.5454545
07/11/2023,4394,1693,233.579235,144.0833333
08/11/2023,3846,1446,231.3507463,282.5
09/11/2023,3426,1353,209.0839695,98.09756098
10/11/2023,3069,1226,211.9431818,129.4761905
11/11/2023,2298,930,197.2619048,64.08333333
12/11/2023,1929,784,88.64102564,124.9411765
13/11/2023,3069,1120,203.6291391,223.0625
14/11/2023,3714,1358,179.2758621,148.68
15/11/2023,3135,1288,242.8076923,116.2380952
16/11/2023,3327,1418,219.1870968,282.1666667
17/11/2023,3194,1354,173.1926606,1.25
18/11/2023,2541,1098,272.9,0
19/11/2023,3577,1114,445.8723404,0
20/11/2023,4790,1630,218.4411765,0
21/11/2023,4197,1632,146.1674877,0
22/11/2023,4304,1766,273.037037,0
23/11/2023,3780,1437,59.04761905,0